"","Victim.s.age","Victim.s.gender","Victim.s.race","Date.of.injury.resulting.in.death..month.day.year.","Location.of.injury..address.","Location.of.death..city.","Location.of.death..state.","Location.of.death..zip.code.","Cause.of.death","Official.disposition.of.death..justified.or.other.","Unarmed"
"297","30","Male","Black","6/26/2016","1445 E Sibley Blvd","Dolton","IL",60419,"Gunshot","Pending investigation","Allegedly Armed"
"298","22","Male","Black","6/26/2016","N 14th St","Lincoln","NE",68521,"Gunshot","Pending investigation","Allegedly Armed"
"299","27","Male","Hispanic","6/26/2016","High Street Ext","Thomaston","CT",6787,"Gunshot","Pending investigation","Allegedly Armed"
"300","19","Male","White","6/25/2016","E Shields Ave and N Armstrong Ave","Fresno","CA",93727,"Gunshot","Pending investigation","Unarmed"
"301","36","Male","Hispanic","6/25/2016","","Gainesville","GA",30501,"Gunshot","Pending investigation","Unarmed"
"302","59","Male","White","6/25/2016","6082 96th Terrace","Pinellas Park","FL",33782,"Gunshot","Pending investigation","Allegedly Armed"
"303","42","Female","White","6/24/2016","6000 Remson Hollow Ln","Katy","TX",77494,"Gunshot","Pending investigation","Allegedly Armed"
"304","29","Male","Unknown race","6/24/2016","Fierro Rd","Hanover","NM",88041,"Gunshot","Pending investigation","Allegedly Armed"
"305","42","Male","Hispanic","6/24/2016","N Classen Blvd and NW 23rd St","Oklahoma City","OK",73106,"Gunshot","Pending investigation","Unclear"
"306","36","Male","Black","6/24/2016","Summer St and Oak St","Paterson","NJ",7501,"Gunshot","Pending investigation","Allegedly Armed"
"307","50","Male","White","6/24/2016","133 Neal St","Farmington","AR",72730,"Gunshot","Pending investigation","Allegedly Armed"
"308","22","Male","Black","6/23/2016","2100 Monroe Dr NE","Atlanta","GA",30324,"Gunshot","Charged with felony murder","Vehicle"
"309","35","Male","Black","6/23/2016","Pheasantwood Dr","Belleville","IL",62226,"Gunshot","Pending investigation","Allegedly Armed"
"310","25","Male","Black","6/23/2016","9800 W Glendale Ave","Wauwatosa","WI",53225,"Gunshot","Pending investigation","Allegedly Armed"
"311","31","Male","Unknown race","6/22/2016","2812 Nelius Rd","Bellville","TX",77418,"Gunshot","Pending investigation","Allegedly Armed"
"312","25","Male","Unknown race","6/22/2016","2622 Delta Dr","Colorado Springs","CO",80910,"Gunshot","Pending investigation","Allegedly Armed"
"313","44","Male","Black","6/22/2016","6851 Highway 301","Walls","MS",38680,"Gunshot","Pending investigation","Allegedly Armed"
"314","46","Male","Black","6/22/2016","500 W Alma Ave","Flint","MI",48505,"Taser","Pending investigation","Allegedly Armed"
"315","37","Male","Hispanic","6/22/2016","1000 Mulberry Pl","Wellington","FL",33414,"Gunshot","Pending investigation","Allegedly Armed"
"316","20","Male","Black","6/22/2016","Oporto Madrid Blvd and Sunrise Dr","Birmingham","AL",35210,"Gunshot","Pending investigation","Vehicle"
"317","24","Male","Hispanic","6/21/2016","1300 E Stage Coach Trail","Lawndale","NC",28090,"Gunshot","Pending investigation","Unarmed"
"318","19","Male","White","6/21/2016","212 Greenfield Rd","Peterborough","NH",3458,"Gunshot","Pending investigation","Unclear"
"319","50","Male","Unknown race","6/21/2016","E 1st St and N Fenway St","Casper","WY",82601,"Gunshot","Pending investigation","Allegedly Armed"
"320","23","Male","Black","6/20/2016","20751 Whyte Hardee Blvd","Hardeeville","SC",29927,"Gunshot","Pending investigation","Allegedly Armed"
"321","20","Male","White","6/20/2016","2400 Everglades Drive","Lake Havasu City","AZ",86403,"Gunshot","Pending investigation","Allegedly Armed"
"322","22","Male","Black","6/19/2016","Emerson Drive and St. John's Heritage Parkway","Palm Bay","FL",32907,"Gunshot","Charged with second-degree murder","Unclear"
"323","30","Male","Unknown race","6/19/2016","204 Watson Drive","Fort Walton Beach","FL",32548,"Gunshot","Pending investigation","Allegedly Armed"
"324","25","Male","Black","6/19/2016","725 Randall Ave","Bronx","NY",10474,"Gunshot","Pending investigation","Allegedly Armed"
"325","41","Male","Black","6/19/2016","310 Otisco Street","Syracuse","NY",13204,"Gunshot","Pending investigation","Allegedly Armed"
"326","34","Male","White","6/18/2016","1004 Jordan Lane NW","Huntsville","AL",35816,"Gunshot","Pending investigation","Allegedly Armed"
"327","17","Male","White","6/18/2016","3700 Horton Lane","Carmichael","CA",95608,"Gunshot","Pending investigation","Unclear"
"328","37","Male","Black","6/18/2016","900 Harrison St","Tupelo","MS",38801,"Gunshot","Pending investigation","Unarmed"
"329","36","Male","White","6/16/2016","604 S Clark St","Butte","MT",59701,"Gunshot","Pending investigation","Allegedly Armed"
"330","30","Male","Unknown race","6/16/2016","8601 Sheridan Blvd","Arvada","CO",80030,"Gunshot","Pending investigation","Vehicle"
"331","59","Male","White","6/16/2016","7606 US 20 Highway","Montpelier","OH",43543,"Gunshot","Pending investigation","Allegedly Armed"
"332","21","Male","Hispanic","6/15/2016","Central Ave and Unsner Blvd","Albuquerque","NM",87121,"Gunshot","Pending investigation","Allegedly Armed"
"333","38","Male","White","6/15/2016","US 141 and Holmes Junction Road","Pembine","WI",54156,"Gunshot","Pending investigation","Allegedly Armed"
"334","43","Male","White","6/15/2016","4100 East Pine Street","Tulsa","OK",74115,"Gunshot","Pending investigation","Vehicle"
"335","54","Male","Black","6/14/2016","4215 Canyon Dr","Amarillo","TX",79110,"Gunshot","Pending investigation","Allegedly Armed"
"336","50","Male","Hispanic","6/14/2016","8711 Brynwood Dr","Boise","ID",83704,"Gunshot","Pending investigation","Vehicle"
"337","47","Male","White","6/14/2016","North Outer Road","Odessa","MO",64076,"Gunshot","Pending investigation","Allegedly Armed"
"338","22","Male","Hispanic","6/14/2016","2310 Proctor Valley Rd","Chula Vista","CA",91914,"Gunshot","Pending investigation","Unclear"
"339","43","Male","White","6/13/2016","NE 10th Ave & NE 219th St","Ridgefield","WA",98642,"Gunshot","Pending investigation","Unclear"
"340","38","Male","Black","6/13/2016","2143 43rd St SE","Grand Rapids","MI",49508,"Gunshot","Pending investigation","Allegedly Armed"
"341","18","Male","Black","6/13/2016","Stanton Road and Wagner Street","Mobile","AL",36617,"Gunshot","Pending investigation","Allegedly Armed"
"342","33","Male","White","6/13/2016","1st Ave & Sunset St","Schenectady","NY",12303,"Gunshot","Pending investigation","Allegedly Armed"
"343","80","Male","Hispanic","6/13/2016","110 Ford Farm Road","Tiverton","RI",2878,"Gunshot","Pending investigation","Allegedly Armed"
"344","61","Male","Unknown race","6/12/2016","6958 Coral Hill Rd","Glasgow","KY",42141,"Gunshot","Pending investigation","Allegedly Armed"
"345","29","Male","Asian","6/12/2016","1912 S Orange Ave","Orlando","FL",32806,"Gunshot","Pending investigation","Allegedly Armed"
"346","23","Male","White","6/12/2016","2198 E. Summit Way","Eagle Mountain","UT",84005,"Gunshot","Pending investigation","Allegedly Armed"
"347","31","Male","Unknown race","6/11/2016","5200 Corona Ave","Maywood","CA",90270,"Gunshot","Pending investigation","Allegedly Armed"
"348","27","Male","Black","6/11/2016","320 Monument Dr","Tupelo","MS",38801,"Gunshot","Pending investigation","Allegedly Armed"
"349","29","Male","White","6/10/2016","124 Estes Rd","Statesville","NC",28625,"Gunshot","Pending investigation","Allegedly Armed"
"350","32","Male","Hispanic","6/10/2016","3100 W 27th St","Pueblo","CO",81003,"Gunshot","Pending investigation","Unclear"
"351","50","Male","Hispanic","6/10/2016","2125 S 68th Ave","Yakima","WA",98903,"Gunshot","Pending investigation","Allegedly Armed"
"352","34","Male","White","6/9/2016","5th Ave S and 30th St S","Birmingham","AL",35233,"Gunshot","Pending investigation","Unclear"
"353","Unknown","Male","Unknown race","6/9/2016","200 Silver St","Ishpeming","MI",49849,"Gunshot","Pending investigation","Allegedly Armed"
"354","43","Male","Black","6/9/2016","1840 NW 10 Street","Oklahoma City","OK",73106,"Physical restraint","Pending investigation","Allegedly Armed"
"355","52","Male","Black","6/9/2016","3700 Hwy 365","Port Arthur","TX",77642,"Gunshot","Pending investigation","Unclear"
"356","Unknown","Male","Unknown race","6/9/2016","10498 W County 11th St","Somerton","AZ",85364,"Gunshot","Pending investigation","Allegedly Armed"
"357","38","Male","White","6/9/2016","974 East Philadelphia Street","York","PA",17403,"Gunshot","Pending investigation","Allegedly Armed"
"358","43","Male","Hispanic","6/8/2016","3500 Bellefontaine Ave","Kansas City","MO",64128,"Gunshot","Pending investigation","Allegedly Armed"
"359","15","Male","White","6/7/2016","I-5","Orland","CA",95963,"Vehicle","Pending investigation","Unarmed"
"360","49","Male","Black","6/7/2016","13000 Gray St","Culpeper","VA",22701,"Gunshot","Pending investigation","Allegedly Armed"
"361","63","Male","White","6/7/2016","690 Swan Lake Rd","Stockbridge","GA",30281,"Gunshot","Pending investigation","Allegedly Armed"
"362","21","Male","Hispanic","6/7/2016","2300 W Main St","Turlock","CA",95380,"Gunshot","Pending investigation","Unarmed"
"363","25","Male","White","6/7/2016","S Polk Ave and SW 13th St","Wagoner","OK",74467,"Gunshot","Pending investigation","Unarmed"
"364","23","Male","Black","6/6/2016","Ontario St and Duxberry Ave","Columbus","OH",43211,"Gunshot","Pending investigation","Allegedly Armed"
"365","25","Male","Unknown race","6/6/2016","Kanoelehua Ave and E Kawailani St","Hilo","HI",96720,"Gunshot","Pending investigation","Allegedly Armed"
"366","38","Female","White","6/5/2016","90 McAllister Rd","Battle Creek","MI",49014,"Gunshot","Pending investigation","Unarmed"
"367","31","Male","White","6/5/2016","5100 Skyline Blvd","Cape Coral","FL",33914,"Gunshot","Pending investigation","Unclear"
"368","31","Male","Unknown race","6/4/2016","92 W Louie Rd","Montague","CA",96064,"Gunshot","Pending investigation","Unclear"
"369","35","Male","Black","6/4/2016","999 Stephenson St","Eufaula","AL",36027,"Gunshot","Pending investigation","Allegedly Armed"
"370","31","Male","White","6/4/2016","1300 West 18th Street","Muncie","IN",47302,"Gunshot","Pending investigation","Allegedly Armed"
"371","Unknown","Male","Native American","6/3/2016","50 Homes Rd","Parker","AZ",85344,"Gunshot","Pending investigation","Allegedly Armed"
"372","28","Male","Native American","6/3/2016","US-18","Pine Ridge","SD",57770,"Gunshot","Pending investigation","Allegedly Armed"
"373","33","Male","White","6/2/2016","Megan Way and East Jean Drive","Palmer","AK",99645,"Gunshot","Pending investigation","Allegedly Armed"
"374","18","Male","Black","6/2/2016","7800 N Tryon St","Charlotte","NC",28262,"Gunshot","Pending investigation","Allegedly Armed"
"375","49","Male","White","6/2/2016","Lost Creek Road","Hazard","KY",41701,"Vehicle","Pending investigation","Allegedly Armed"
"376","43","Male","Black","6/2/2016","400 Chapel St","Norfolk","VA",23504,"Gunshot","Pending investigation","Unclear"
"377","21","Male","Black","6/1/2016","590 Bullsboro Dr","Newnan","GA",30265,"Gunshot","Pending investigation","Allegedly Armed"
"378","51","Male","White","6/1/2016","Log Cabin Rd and Arthur Jackson Ln","Berea","KY",40403,"Gunshot","Pending investigation","Allegedly Armed"
"379","Unknown","Male","White","6/1/2016","2020 N 75th Ave","Phoenix","AZ",85035,"Gunshot","Pending investigation","Allegedly Armed"
"380","36","Male","White","5/31/2016","59800 South Highway 97","Bend","OR",97702,"Gunshot","Pending investigation","Allegedly Armed"
"381","18","Male","Unknown race","5/31/2016","W Deer Valley Rd & N 7th Ave","Phoenix","AZ",85027,"Vehicle","Pending investigation","Allegedly Armed"
"382","70","Male","White","5/30/2016","18100 SW Cheyenne Way","Tualatin","OR",97062,"Gunshot","Pending investigation","Allegedly Armed"
"383","33","Male","Black","5/30/2016","N Columbus Blvd and E Fairmount St","Tucson","AZ",85712,"Gunshot","Pending investigation","Allegedly Armed"
"384","53","Male","White","5/29/2016","100 Southeast Boulevard","Clinton","NC",28328,"Gunshot","Pending investigation","Allegedly Armed"
"385","30","Male","White","5/29/2016","N Madison Ave and Camby St","Greenwood","IN",46142,"Taser","Pending investigation","Unarmed"
"386","25","Male","Hispanic","5/29/2016","13200 Memorial Drive","Houston","TX",77079,"Gunshot","Pending investigation","Allegedly Armed"
"387","27","Male","Unknown race","5/29/2016","Peace Haven Road and Locksley Lane","Winston-Salem","NC",27104,"Vehicle","Pending investigation","Allegedly Armed"
"388","38","Male","White","5/29/2016","3287 Garrett Rd","Stoneville","NC",27048,"Gunshot","Pending investigation","Unclear"
"389","32","Male","White","5/29/2016","17-92 and Firehouse Road","Deland","FL",32763,"Gunshot","Pending investigation","Allegedly Armed"
"390","58","Male","White","5/28/2016","3900 Goodrich Avenue","Albuquerque","NM",87110,"Gunshot","Pending investigation","Allegedly Armed"
"391","50","Male","Unknown race","5/28/2016","53410 Old US Hwy 78","Eastaboga","AL",36260,"Gunshot","Pending investigation","Unclear"
"392","41","Male","Hispanic","5/28/2016","1200 Crystal","San Antonio","TX",78211,"Taser","Pending investigation","Unarmed"
"393","64","Male","Black","5/28/2016","1011 S Garnett Rd","Tulsa","OK",74128,"Taser","Pending investigation","Unarmed"
"394","59","Male","White","5/27/2016","100 W Gimber St","Indianapolis","IN",46225,"Gunshot","Pending investigation","Allegedly Armed"
"395","19","Male","Hispanic","5/26/2016","1400 Fjord Dr","Solvang","CA",93463,"Gunshot","Pending investigation","Allegedly Armed"
"396","43","Male","White","5/26/2016","16831 Torrence Ave","Lansing","IL",60438,"Gunshot","Pending investigation","Allegedly Armed"
"397","25","Male","Hispanic","5/26/2016","I-25","Socorro","NM",87801,"Gunshot","Pending investigation","Unclear"
"398","44","Male","Unknown race","5/26/2016","2434 SW Loop 410","San Antonio","TX",78227,"Gunshot","Pending investigation","Allegedly Armed"
"399","48","Female","White","5/26/2016","7958 Old Spanish Trail","Sneads","FL",32460,"Gunshot","Pending investigation","Allegedly Armed"
"400","29","Male","White","5/26/2016","2100 Minnehaha Ave E","St. Paul","MN",55119,"Gunshot","Pending investigation","Allegedly Armed"
"401","21","Male","Black","5/26/2016","N 51st St & Eastgate St","Washington Park","IL",62204,"Gunshot","Pending investigation","Unarmed"
"402","24","Male","Black","5/25/2016","Northwest 167th and Northwest 37th Avenue","Miami Gardens","FL",33056,"Gunshot","Pending investigation","Unarmed"
"403","43","Male","White","5/25/2016","N Western Ave & W Sheridan Ave","Oklahoma City","OK",73106,"Gunshot","Pending investigation","Allegedly Armed"
"404","57","Male","Unknown race","5/24/2016","I-49 & Highway J","Peculiar","MO",64078,"Gunshot","Pending investigation","Unclear"
"405","22","Male","White","5/24/2016","18900 Southeast Grant Street","Gresham","OR",97233,"Gunshot","Pending investigation","Allegedly Armed"
"406","31","Male","Hispanic","5/24/2016","Western Skies Dr SE","Albuquerque","NM",87123,"Gunshot","Pending investigation","Allegedly Armed"
"407","26","Male","Native American","5/23/2016","201 West Butler","Flagstaff","AZ",86001,"Gunshot","Pending investigation","Allegedly Armed"
"408","35","Male","Hispanic","5/22/2016","31 Watch St.","Oxford","MA",1542,"Gunshot","Pending investigation","Allegedly Armed"
"409","28","Male","White","5/22/2016","13th Street and Arapahoe Avenue","Boulder","CO",80302,"Gunshot","Pending investigation","Allegedly Armed"
"410","27","Male","Black","5/22/2016","137 Golden Isles Dr","Hallandale Beach","FL",33009,"Gunshot","Pending investigation","Unarmed"
"411","22","Male","Black","5/22/2016","N Liberty St & E 9th St","Jacksonville","FL",32206,"Gunshot","Pending investigation","Unarmed"
"412","31","Male","Native American","5/21/2016","6630 Lumberjack Blvd","Flagstaff","AZ",86004,"Gunshot","Pending investigation","Allegedly Armed"
"413","63","Male","White","5/21/2016","1716 Westfield Church Rd","Chesterfield","SC",29709,"Gunshot","Pending investigation","Allegedly Armed"
"414","38","Male","White","5/21/2016","200 S 2nd St","Oregon City","OR",97045,"Gunshot","Pending investigation","Unarmed"
"415","59","Male","White","5/21/2016","South Center Street and Bell Street","Statesville","NC",28677,"Vehicle","Pending investigation","Allegedly Armed"
"416","31","Male","Black","5/20/2016","W Maple Rd and N 165th St","Omaha","NE",68116,"Gunshot","Pending investigation","Allegedly Armed"
"417","40","Male","White","5/20/2016","3rd Avenue and Osborn Road","Phoenix","AZ",85013,"Physical restraint","Pending investigation","Allegedly Armed"
"418","35","Male","Hispanic","5/19/2016","6000 Birdcage St","Citrus Heights","CA",95610,"Gunshot","Pending investigation","Allegedly Armed"
"419","36","Male","White","5/19/2016","Jenny Holland Drive","Fisty","KY",41740,"Gunshot","Pending investigation","Allegedly Armed"
"420","30","Male","Hispanic","5/19/2016","2140 N Las Vegas Blvd","North Las Vegas","NV",89030,"Gunshot","Pending investigation","Unarmed"
"421","22","Male","Black","5/19/2016","NW 20th Ave and NW 76th St","Miami","FL",33147,"Gunshot","Pending investigation","Allegedly Armed"
"422","29","Female","Black","5/19/2016","Shafter Ave and Elmira St","San Francisco","CA",94124,"Gunshot","Pending investigation","Unarmed"
"423","29","Male","Black","5/18/2016","Penn Avenue and West Broadway Avenue","Minneapolis","MN",55411,"Vehicle","Pending investigation","Allegedly Armed"
"424","44","Male","White","5/18/2016","1617 S Service Road","West Sullivan","MO",65441,"Gunshot","Pending investigation","Allegedly Armed"
"425","46","Male","White","5/18/2016","810 8th Ave","New York","NY",10019,"Gunshot","Pending investigation","Allegedly Armed"
"426","19","Male","Hispanic","5/18/2016","7600 S 48th Ln","Phoenix","AZ",85339,"Gunshot","Pending investigation","Allegedly Armed"
"427","45","Male","White","5/17/2016","1500 Prado Drive","Fountain","CO",80817,"Physical restraint","Pending investigation","Allegedly Armed"
"428","36","Male","White","5/17/2016","799 99-97 Cutoff","Montague","CA",96064,"Gunshot","Pending investigation","Unclear"
"429","23","Male","Black","5/16/2016","1500 Cheryl Leigh Dr","Riverdale","GA",30296,"Gunshot","Pending investigation","Allegedly Armed"
"430","48","Male","White","5/16/2016","584 Mount Hope Ave.","Fall River","MA",2724,"Taser","Pending investigation","Unarmed"
"431","35","Male","White","5/15/2016","Raum Rd","Golconda","IL",62938,"Gunshot","Pending investigation","Allegedly Armed"
"432","34","Male","White","5/14/2016","400 Swan Lake Road","Stockbridge","GA",30281,"Gunshot","Pending investigation","Unclear"
"433","19","Male","White","5/14/2016","253 East State Street","Jacksonville","FL",32202,"Gunshot","Pending investigation","Allegedly Armed"
"434","43","Male","Hispanic","5/14/2016","3737 West McDowell Road","Phoenix","AZ",85009,"Gunshot","Pending investigation","Allegedly Armed"
"435","59","Male","White","5/14/2016","1400 State Road 415","Osteen","FL",32764,"Gunshot","Pending investigation","Allegedly Armed"
"436","27","Female","Hispanic","5/13/2016","FL-33 and East Cardinal Pines Drive","Mascotte","FL",34753,"Vehicle","Pending investigation","Allegedly Armed"
"437","28","Male","Hispanic","5/13/2016","3400 Lee Street","Los Angeles","CA",90023,"Gunshot","Pending investigation","Allegedly Armed"
"438","37","Male","White","5/13/2016","999 Rosemont Ave N","Union","NJ",7083,"Gunshot","Pending investigation","Unclear"
"439","51","Male","Black","5/12/2016","6800 First Avenue North","Birmingham","AL",35206,"Vehicle","Pending investigation","Allegedly Armed"
"440","35","Male","White","5/11/2016","7700 S. Quatar Ct","Aurora","CO",80015,"Gunshot","Pending investigation","Allegedly Armed"
"441","38","Male","Black","5/11/2016","2633 Washington Street","Grafton","WI",53024,"Gunshot","Pending investigation","Allegedly Armed"
"442","24","Male","Black","5/11/2016","US-85 and 31st St","Evans","CO",80620,"Gunshot","Pending investigation","Allegedly Armed"
"443","69","Male","White","5/11/2016","","Byng","OK",74820,"Gunshot","Pending investigation","Allegedly Armed"
"444","30","Male","Asian","5/11/2016","100 Pagel Place","San Diego","CA",92114,"Gunshot","Pending investigation","Vehicle"
"445","28","Male","Black","5/10/2016","2 Galleria Mall Dr #247","Taunton","MA",2780,"Gunshot","Pending investigation","Allegedly Armed"
"446","35","Female","White","5/10/2016","5284 Oak St","Kennedale","TX",76140,"Taser","Pending investigation","Allegedly Armed"
"447","21","Male","Black","5/9/2016","4900 South Karlov Avenue","Chicago","IL",60632,"Gunshot","Pending investigation","Allegedly Armed"
"448","33","Male","Black","5/9/2016","10929 Dizzy Dean Pl","El Paso","TX",79934,"Gunshot","Pending investigation","Unarmed"
"449","23","Male","White","5/9/2016","8011 Tucker Rd","Biloxi","MS",39532,"Gunshot","Pending investigation","Unarmed"
"450","59","Male","Unknown race","5/9/2016","15990 Northeast 160th Avenue Road","Fort McCoy","FL",32134,"Gunshot","Pending investigation","Allegedly Armed"
"451","29","Male","White","5/9/2016","7318 FM 2259","Nacogdoches","TX",75961,"Gunshot","Pending investigation","Allegedly Armed"
"452","50","Male","White","5/9/2016","Southwest Bayshore Boulevard and Southwest Swan Avenue","Port St. Lucie","FL",34983,"Vehicle","Pending investigation","Allegedly Armed"
"453","33","Male","Black","5/9/2016","700 Buffalo Street","St. Paul","MN",55117,"Gunshot","Pending investigation","Allegedly Armed"
"454","26","Female","White","5/8/2016","Harrison Avenue and Oakland Avenue","Decatur","IL",62526,"Vehicle","Pending investigation","Allegedly Armed"
"455","44","Male","White","5/8/2016","35.387258, -96.448025","Cromwell","OK",74859,"Vehicle","Pending investigation","Unarmed"
"456","21","Male","Black","5/7/2016","21st Street and Locust Avenue","Long Beach","CA",90806,"Gunshot","Pending investigation","Unarmed"
"457","79","Male","White","5/7/2016","Hampton Boulevard and Surrey Crescent","Norfolk","VA",23508,"Vehicle","Pending investigation","Allegedly Armed"
"458","37","Male","Black","5/7/2016","2000 21st Ave S","Saint Petersburg","FL",33712,"Gunshot","Pending investigation","Allegedly Armed"
"459","29","Male","White","5/7/2016","631 Main St","Presque Isle","ME",4769,"Gunshot","Pending investigation","Allegedly Armed"
"460","29","Male","Unknown race","5/7/2016","127th Drive NE and 44th Street NE","Lake Stevens","WA",98258,"Gunshot","Pending investigation","Allegedly Armed"
"461","23","Male","White","5/6/2016","100 Marie Avenue","Weirton","WV",26062,"Gunshot","Pending investigation","Allegedly Armed"
"462","36","Male","White","5/5/2016","Westbank Expy & Milton St","Gretna","LA",70053,"Gunshot","Pending investigation","Unclear"
"463","38","Male","Black","5/5/2016","N 76th St and W Mill Road","Milwaukee","WI",53218,"Gunshot","Pending investigation","Allegedly Armed"
"464","26","Female","Black","5/5/2016","600 Delhi Street","Orlando","FL",32808,"Gunshot","Pending investigation","Allegedly Armed"
"465","39","Male","White","5/4/2016","SW 146th Street and 21st Ave SW","Burien","WA",98166,"Gunshot","Pending investigation","Allegedly Armed"
"466","40","Male","White","5/4/2016","8 Granger Lane","Buffalo","MO",65622,"Gunshot","Pending investigation","Unclear"
"467","52","Male","White","5/4/2016","6200 Overbrook Avenue","Philadelphia","PA",19151,"Gunshot","Pending investigation","Allegedly Armed"
"468","18","Male","Unknown race","5/4/2016","32600 Hislop Way","Temecula","CA",92592,"Gunshot","Pending investigation","Allegedly Armed"
"469","67","Male","Unknown race","5/3/2016","94th Street and Coastal Highway","Ocean City","MD",21842,"Vehicle","Pending investigation","Allegedly Armed"
"470","59","Male","White","5/3/2016","2600 E Delta Ave","Visalia","CA",93292,"Gunshot","Pending investigation","Allegedly Armed"
"471","53","Male","Black","5/2/2016","Tappan Drive and Wade Hampton Boulevard","Taylors","SC",29687,"Gunshot","Pending investigation","Allegedly Armed"
"472","26","Male","Black","5/1/2016","902 Pickens St","Anderson","SC",29621,"Taser","Pending investigation","Allegedly Armed"
"473","28","Male","White","5/1/2016","2000 Colvett Road","Alamo","TN",38001,"Gunshot","Pending investigation","Allegedly Armed"
"474","25","Male","Black","5/1/2016","600 Orange Blossom Trail","Orlando","FL",32805,"Gunshot","Pending investigation","Unarmed"
"475","28","Male","Hispanic","4/30/2016","Parthenia St and Orion Ave","Los Angeles","CA",91343,"Gunshot","Pending investigation","Allegedly Armed"
"476","33","Male","White","4/30/2016","4500 S 3200 W","Spanish Fork","UT",84660,"Gunshot","Pending investigation","Allegedly Armed"
"477","42","Male","White","4/30/2016","725 Gilbert St","Wasau","WI",54403,"Gunshot","Pending investigation","Allegedly Armed"
"478","48","Male","White","4/29/2016","17742 MO-177","Jackson","MO",63755,"Gunshot","Pending investigation","Unarmed"
"479","Unknown","Male","Unknown race","4/29/2016","NE Sandy Blvd","Wood Village","OR",97060,"Vehicle","Pending investigation","Unarmed"
"480","55","Male","White","4/29/2016","N Gary Rd and E Empire Blvd","San Tan Valley","AZ",85143,"Gunshot","Pending investigation","Vehicle"
"481","54","Male","White","4/28/2016","10000 W Spring River St","Boise","ID",83709,"Gunshot","Pending investigation","Allegedly Armed"
"482","24","Male","Black","4/28/2016","Beltway 8","Houston","TX",77049,"Gunshot","Pending investigation","Unclear"
"483","37","Male","Hispanic","4/28/2016","NW 2nd St and NW 7th Ave","Miami","FL",33128,"Gunshot","Pending investigation","Allegedly Armed"
"484","45","Male","Unknown race","4/28/2016","100 S State St","Spokane","WA",99201,"Gunshot","Pending investigation","Allegedly Armed"
"485","34","Male","Asian","4/27/2016","3000 Green Oaks Cir NE","Atlanta","GA",30345,"Gunshot","Pending investigation","Allegedly Armed"
"486","21","Male","White","4/27/2016","7300 Tennyson St","Westminster","CO",80030,"Gunshot","Pending investigation","Allegedly Armed"
"487","24","Female","White","4/26/2016","5800 Eubank Blvd NE","Albuquerque","NM",87111,"Gunshot","Pending investigation","Allegedly Armed"
"488","26","Male","Black","4/26/2016","1300 Hawthorne Dr","Chesapeake","VA",23325,"Gunshot","Pending investigation","Allegedly Armed"
"489","46","Male","White","4/26/2016","92-8691 Lotus Blossom Ln","Ocean View","HI",96737,"Physical restraint","Pending investigation","Unarmed"
"490","28","Male","White","4/26/2016","480 Wadsworth Blvd","Lakewood","CO",80226,"Gunshot","Pending investigation","Allegedly Armed"
"491","44","Male","White","4/26/2016","US-90 and FM1104","Kingsbury","TX",78638,"Gunshot","Pending investigation","Allegedly Armed"
"492","60","Female","Unknown race","4/25/2016","422 E Blue Ridge Rd","East Flat Rock","NC",28726,"Gunshot","Pending investigation","Allegedly Armed"
"493","53","Male","White","4/24/2016","1724 Beach Blvd","Gulfport","MS",39501,"Taser","Pending investigation","Unarmed"
"494","18","Male","White","4/23/2016","1900 10th Ave","Antigo","WI",54409,"Gunshot","Pending investigation","Allegedly Armed"
"495","24","Male","White","4/23/2016","1175 S Arizona Avenue","Chandler","AZ",85286,"Gunshot","Pending investigation","Allegedly Armed"
"496","33","Male","Black","4/23/2016","E Sunbridge Dr","Fayetteville","AR",72703,"Gunshot","Pending investigation","Unarmed"
"497","21","Male","Black","4/23/2016","Ave G and N 19th St","Fort Pierce","FL",34950,"Gunshot","Pending investigation","Vehicle"
"498","30","Male","White","4/23/2016","1300 Church St","Norfolk","VA",23504,"Gunshot","Pending investigation","Allegedly Armed"
"499","28","Male","Black","4/23/2016","3732 SW Topeka Blvd","Topeka","KS",66609,"Gunshot","Pending investigation","Allegedly Armed"
"500","29","Male","White","4/22/2016","6600 MoPac Expy","Austin","TX",78739,"Gunshot","Pending investigation","Allegedly Armed"
"501","51","Male","White","4/22/2016","12 High Point Rd","Berne","NY",12023,"Gunshot","Pending investigation","Allegedly Armed"
"502","48","Male","Hispanic","4/21/2016","Broadway and Chelsea St","Everett","MA",2149,"Gunshot","Pending investigation","Allegedly Armed"
"503","31","Female","Unknown race","4/21/2016","1304 Serrina Court","Silver City","NM",88061,"Gunshot","Pending investigation","Unarmed"
"504","52","Male","Unknown race","4/20/2016","1542 Arkansas Hwy 9","Perryville","AR",72126,"Gunshot","Pending investigation","Unclear"
"505","41","Male","White","4/20/2016","SW 180th Ave","Homestead","FL",33034,"Gunshot","Pending investigation","Allegedly Armed"
"506","38","Male","White","4/19/2016","US 278 and Alabama 79","Blountsville","AL",35031,"Gunshot","Pending investigation","Allegedly Armed"
"507","41","Male","Pacific Islander","4/19/2016","2415 Little Rock Rd","Charlotte","NC",28214,"Gunshot","Pending investigation","Allegedly Armed"
"508","15","Male","Black","4/19/2016","3200 St Louis Ave","St. Louis","MO",63106,"Gunshot","Pending investigation","Allegedly Armed"
"509","18","Male","Black","4/18/2016","6400 Mableton Pkwy SW","Mableton","GA",30126,"Gunshot","Pending investigation","Allegedly Armed"
