"","Victim.s.age","Victim.s.gender","Victim.s.race","Date.of.injury.resulting.in.death..month.day.year.","Location.of.injury..address.","Location.of.death..city.","Location.of.death..state.","Location.of.death..zip.code.","Cause.of.death","Official.disposition.of.death..justified.or.other.","Unarmed"
"139","42","Male","White","8/15/2016","100 Blackberry Way","Counce","TN",38326,"Gunshot","Pending investigation","Allegedly Armed"
"140","36","Male","White","8/13/2016","900 Cheryl Ann Cir","Hayward","CA",94544,"Gunshot","Pending investigation","Unclear"
"141","44","Male","White","8/13/2016","Route 116 and Centennial Drive","East Peoria","IL",61611,"Vehicle","Pending investigation","Unarmed"
"142","23","Male","Black","8/13/2016","W Auer Ave and N 44th St","Milwaukee","WI",53216,"Gunshot","Pending investigation","Allegedly Armed"
"143","18","Male","Unknown race","8/13/2016","130 W Oakland St","Monticello","AR",71655,"Tasered","Pending investigation","Unarmed"
"144","30","Male","Unknown race","8/13/2016","10 block Vicky Court","Hamilton","NJ",8610,"Gunshot","Pending investigation","Unclear"
"145","38","Male","White","8/13/2016","W Indian School Rd and N 43rd Ave","Phoenix","AZ",85031,"Gunshot","Pending investigation","Allegedly Armed"
"146","53","Male","White","8/13/2016","Sheridan Blvd and W 1st Ave","Lakewood","CO",80226,"Gunshot","Pending investigation","Allegedly Armed"
"147","36","Male","White","8/12/2016","Westmoor Dr & Beechnut Rd","Richmond","TX",77407,"Vehicle","Charged with manslaughter","Unarmed"
"148","22","Male","Hispanic","8/12/2016","N Country Club Dr and W McKellips Rd","Mesa","AZ",85201,"Gunshot","Pending investigation","Unclear"
"149","33","Female","White","8/12/2016","2294 E Irlo Bronson Memorial Hwy","Kissimmee","FL",34744,"Gunshot","Murder/suicide","Unarmed"
"150","49","Male","White","8/12/2016","400 E Shawnee St","Tahlequah","OK",74464,"Gunshot","Pending investigation","Allegedly Armed"
"151","39","Male","White","8/11/2016","Woodland Hills","Harlan","KY",40831,"Gunshot","Pending investigation","Unclear"
"152","33","Male","Hispanic","8/11/2016","Bronze Way","Vista","CA",92083,"Gunshot","Pending investigation","Unclear"
"153","59","Male","Unknown race","8/11/2016","5800 S 152nd Pl","Tukwila","WA",98188,"Gunshot","Pending investigation","Allegedly Armed"
"154","44","Male","White","8/9/2016","803 Mountain Springs Rd","Piedmont","SC",29673,"Gunshot","Pending investigation","Unclear"
"155","61","Male","Black","8/9/2016","500 Union Avenue","Fairfield","CA",94533,"Medical emergency","Pending investigation","Unarmed"
"156","14","Male","Hispanic","8/9/2016","N Breed St","Los Angeles","CA",90033,"Gunshot","Pending investigation","Allegedly Armed"
"157","45","Male","White","8/9/2016","Five Points Pike","Mt. Sterling","OH",43143,"Gunshot","Pending investigation","Allegedly Armed"
"158","73","Female","White","8/9/2016","1410 Tamiami Trail","Punta Gorda","FL",33950,"Gunshot","Pending investigation","Unarmed"
"159","59","Male","White","8/8/2016","7000 block Grenola Way","Citrus Heights","CA",95621,"Gunshot","Pending investigation","Allegedly Armed"
"160","34","Male","Hispanic","8/8/2016","Midway Rd","Georgetown","KY",40324,"Gunshot","Pending investigation","Unclear"
"161","57","Male","Black","8/8/2016","4900 block Broadleaf Drive","Louisville","KY",40216,"Gunshot","Pending investigation","Allegedly Armed"
"162","69","Male","White","8/8/2016","2110 Wash Lever Rd.","Little Mountain","SC",29075,"Gunshot","Pending investigation","Allegedly Armed"
"163","64","Male","White","8/8/2016","Congo Road","Wilkesboro","NC",28697,"Gunshot","Pending investigation","Allegedly Armed"
"164","25","Male","Black","8/7/2016","East Fifth Street and Main Street","Cincinnati","OH",45202,"Gunshot","Justified","Allegedly Armed"
"165","20","Male","Black","8/7/2016","2330 Green Street","Harrisburg","PA",17110,"Gunshot","Pending investigation","Allegedly Armed"
"166","59","Male","White","8/5/2016","215 Woodland Drive","Beaver Dam","WI",53916,"Gunshot","Pending investigation","Allegedly Armed"
"167","58","Male","White","8/5/2016","41400 block Carriage Horse Drive","Aldie","VA",20105,"Gunshot","Pending investigation","Allegedly Armed"
"168","30","Male","White","8/5/2016","Greenfield Rd. and US-41","Spring Hill","FL",34610,"Gunshot","Pending investigation","Unarmed"
"169","31","Male","Unknown race","8/5/2016","9900 block Woodglen Vista Drive","Santee","CA",92071,"Gunshot","Pending investigation","Allegedly Armed"
"170","26","Male","Black","8/5/2016","4031 Seven Oaks Ln","East Point","GA",30344,"Gunshot","Pending investigation","Allegedly Armed"
