"","Date.of.injury.resulting.in.death..month.day.year.","Victim.s.age","Victim.s.gender","Victim.s.race","Cause.of.death","Unarmed","city","state","zip","latitude","longitude"
"1","4/7/13","28","Male","Unknown race","Gunshot","Allegedly Armed","Westfield","MA","01085",42.133642,-72.75029
"2","4/5/16","52","Male","White","Gunshot","Allegedly Armed","West Springfield","MA","01089",42.112793,-72.64066
"3","8/11/13","23","Male","Black","Gunshot","Allegedly Armed","Springfield","MA","01103",42.103294,-72.59112
"4","6/26/14","34","Male","White","Gunshot","Allegedly Armed","Springfield","MA","01108",42.084094,-72.55523
"5","5/15/13","44","Male","Black","Gunshot","Allegedly Armed","Springfield","MA","01109",42.116277,-72.55031
"6","7/3/13","23","Male","White","Gunshot","Allegedly Armed","Orange","MA","01364",42.599614,-72.29263
"7","5/22/16","35","Male","Hispanic","Gunshot","Allegedly Armed","Rochdale","MA","01542",42.194793,-71.90651
"8","3/27/15","40","Male","White","Gunshot","Allegedly Armed","Webster","MA","01570",42.047728,-71.86108
"9","7/30/15","38","Male","Hispanic","Taser","Unarmed","Worcester","MA","01610",42.248493,-71.80793
"10","7/2/13","27","Male","White","Gunshot","Allegedly Armed","Ashland","MA","01721",42.257956,-71.45886
"11","8/23/14","26","Male","Black","Vehicle","Unarmed","Methuen","MA","01844",42.73004,-71.17935
"12","3/26/16","39","Male","Hispanic","Gunshot","Allegedly Armed","Lowell","MA","01851",42.630915,-71.33238
"13","2/17/15","30","Male","White","Gunshot","Allegedly Armed","Tewksbury","MA","01876",42.601684,-71.22071
"14","7/13/15","23","Male","Hispanic","Gunshot","Vehicle","Lynn","MA","01902",42.469946,-70.94113
"15","1/29/16","33","Male","Black","Gunshot","Allegedly Armed","Lynn","MA","01904",42.490421,-70.96579
"16","9/5/13","30","Male","Black","Gunshot","Unclear","Lynn","MA","01905",42.464879,-70.97411
"17","10/10/15","49","Male","White","Gunshot","Vehicle","Beverly","MA","01915",42.560995,-70.8757
"18","8/23/13","37","Male","Unknown race","Gunshot","Allegedly Armed","Danvers","MA","01923",42.569756,-70.94322
"19","5/15/14","29","Male","White","Gunshot","Allegedly Armed","Salisbury","MA","01952",42.85048,-70.86153
"20","4/5/14","38","Male","Black","Gunshot","Allegedly Armed","Boston","MA","02118",42.338724,-71.07276
"21","3/27/15","41","Male","Black","Gunshot","Allegedly Armed","Boston","MA","02121",42.307448,-71.08127
"22","2/12/16","29","Male","Black","Gunshot","Allegedly Armed","Boston","MA","02121",42.307448,-71.08127
"23","12/7/13","20","Male","Black","Gunshot","Allegedly Armed","Boston","MA","02124",42.28713,-71.07156
"24","8/7/13","21","Male","Black","Gunshot","Allegedly Armed","Boston","MA","02124",42.28713,-71.07156
"25","6/2/13","38","Male","Hispanic","Gunshot","Allegedly Armed","Boston","MA","02124",42.28713,-71.07156
"26","10/12/16","33","Male","Black","Gunshot","Allegedly Armed","Boston","MA","02128",42.378297,-71.0255
"27","6/2/15","26","Male","Black","Gunshot","Allegedly Armed","Roslindale","MA","02131",42.284678,-71.13052
"28","5/29/13","48","Male","Unknown race","Medical Emergency","Allegedly Armed","Brighton","MA","02135",42.348418,-71.15349
"29","4/21/16","48","Male","Hispanic","Gunshot","Allegedly Armed","Everett","MA","02149",42.409916,-71.0522
"30","6/26/14","56","Male","White","Taser","Unclear","Chelsea","MA","02150",42.396382,-71.03352
"31","3/24/16","44","Male","White","Gunshot","Allegedly Armed","Braintree","MA","02184",42.209555,-70.99968
"32","1/19/15","49","Male","White","Gunshot","Allegedly Armed","Weymouth","MA","02191",42.242749,-70.94434
"33","6/19/15","45","Male","Hispanic","Gunshot","Allegedly Armed","Boston","MA","02215",42.346997,-71.10215
"34","7/2/15","45","Male","White","Gunshot","Unarmed","Brockton","MA","02302",42.08715,-71.00222
"35","1/7/16","29","Male","Black","Physical restraint","Unarmed","Bridgewater","MA","02324",41.979501,-70.97215
"36","9/23/13","47","Male","White","Gunshot","Allegedly Armed","East Bridgewater","MA","02333",42.029083,-70.95227
"37","9/22/13","23","Female","White","Vehicle","Unarmed","Plymouth","MA","02360",41.894676,-70.61999
"38","9/22/13","64","Female","White","Vehicle","Unarmed","Plymouth","MA","02360",41.894676,-70.61999
"39","6/14/13","41","Male","White","Gunshot","Allegedly Armed","Randolph","MA","02368",42.173417,-71.04912
"40","4/18/13","26","Male","White","Gunshot","Allegedly Armed","Watertown","MA","02472",42.371296,-71.18196
"41","1/1/15","22","Male","White","Vehicle","Unarmed","Chatham","MA","02633",41.686534,-69.97746
"42","5/16/16","48","Male","White","Taser","Unarmed","Fall River","MA","02724",41.684152,-71.17436
"43","10/23/14","25","Male","Hispanic","Gunshot","Allegedly Armed","North Dartmouth","MA","02747",41.637916,-70.99076
"44","5/10/16","28","Male","Black","Gunshot","Allegedly Armed","Taunton","MA","02780",41.904888,-71.10288
"45","5/2/13","35","Male","White","Gunshot","Allegedly Armed","Pawtucket","RI","02860",41.872099,-71.39007
"46","3/24/16","24","Male","Black","Gunshot","Unarmed","Pawtucket","RI","02860",41.872099,-71.39007
"47","6/13/16","80","Male","Hispanic","Gunshot","Allegedly Armed","Tiverton","RI","02878",41.629413,-71.18724
"48","9/6/15","63","Male","White","Medical emergency","Unarmed","Providence","RI","02908",41.839296,-71.43802
"49","3/22/14","18","Male","Black","Gunshot","Allegedly Armed","Providence","RI","02908",41.839296,-71.43802
"50","1/21/15","54","Male","White","Gunshot","Allegedly Armed","Derry","NH","03038",42.886486,-71.30019
"51","9/3/15","23","Male","White","Gunshot","Allegedly Armed","Merrimack","NH","03054",42.858053,-71.51216
"52","8/13/13","35","Male","Hispanic","Gunshot","Unarmed","Keene","NH","03431",42.946418,-72.28616
"53","6/21/16","19","Male","White","Gunshot","Unclear","Peterborough","NH","03458",42.884919,-71.95133
"54","3/29/13","51","Male","White","Gunshot","Allegedly Armed","Walpole","NH","03608",43.075411,-72.41902
"55","9/25/16","25","Male","White","Gunshot","Unclear","Claremont","NH","03743",43.374562,-72.34152
"56","7/6/15","42","Male","White","Gunshot","Allegedly Armed","Woodsville","NH","03785",44.133215,-71.96306
"57","3/10/14","35","Male","White","Gunshot","Unarmed","Rochester","NH","03868",43.340581,-70.96311
"58","12/20/15","35","Male","White","Vehicle","Vehicle","Seabrook","NH","03874",42.88439,-70.85466
"59","12/4/14","55","Female","White","Gunshot","Allegedly Armed","South Berwick","ME","03908",43.234782,-70.77876
"60","12/12/13","61","Male","White","Gunshot","Allegedly Armed","Hollis Center","ME","04042",43.611238,-70.63265
"61","4/12/14","66","Male","White","Gunshot","Allegedly Armed","Windham","ME","04062",43.810673,-70.41697
"62","8/17/14","52","Male","White","Gunshot","Allegedly Armed","Mexico","ME","04257",44.556984,-70.53351
"63","12/1/15","23","Male","White","Gunshot","Allegedly Armed","Bangor","ME","04401",44.81777,-68.78952
"64","6/9/13","21","Male","White","Gunshot","Allegedly Armed","Hampden","ME","04444",44.735745,-68.92518
"65","8/3/14","49","Male","White","Gunshot","Allegedly Armed","Lagrange","ME","04453",45.184949,-68.78881
"66","9/27/14","34","Male","White","Gunshot","Allegedly Armed","Lincoln","ME","04457",45.368934,-68.48354
"67","8/26/13","28","Male","Unknown race","Vehicle","Vehicle","Mattawamkeag","ME","04459",45.518535,-68.33623
"68","8/17/13","78","Male","White","Gunshot","Allegedly Armed","Medway","ME","04460",45.638612,-68.52012
"69","10/9/13","28","Male","White","Gunshot","Allegedly Armed","Old Town","ME","04468",44.951551,-68.67889
"70","7/3/13","26","Male","White","Gunshot","Allegedly Armed","Calais","ME","04619",45.166045,-67.24243
"71","10/12/14","52","Male","White","Gunshot","Allegedly Armed","Houlton","ME","04730",46.12672,-67.87798
"72","5/7/16","29","Male","White","Gunshot","Allegedly Armed","Presque Isle","ME","04769",46.679321,-68.00216
"73","2/10/15","61","Male","White","Gunshot","Allegedly Armed","Smyrna Mills","ME","04780",46.164163,-68.23232
"74","4/4/14","35","Male","Hispanic","Gunshot","Allegedly Armed","Brattleboro","VT","05301",42.849957,-72.62328
"75","3/21/16","76","Male","White","Gunshot","Allegedly Armed","Burlington","VT","05401",44.484038,-73.22126
"76","12/22/15","56","Male","White","Gunshot","Allegedly Armed","Burlington","VT","05401",44.484038,-73.22126
"77","9/16/16","29","Male","White","Gunshot","Unarmed","Winooski","VT","05404",44.494999,-73.18259
"78","11/6/13","49","Male","White","Gunshot","Allegedly Armed","Burlington","VT","05408",44.48,-73.27
"79","8/14/15","53","Male","White","Gunshot","Allegedly Armed","Bolton","CT","06043",41.771265,-72.43669
"80","9/2/13","40","Male","White","Taser","Unarmed","New Britain","CT","06053",41.686949,-72.7908
"81","12/13/13","43","Male","White","Gunshot","Allegedly Armed","Unionville","CT","06085",41.749832,-72.8898
"82","8/7/15","26","Male","White","Taser","Unarmed","Hartford","CT","06106",41.7469,-72.69593
"83","5/15/13","52","Male","Hispanic","Gunshot","Allegedly Armed","Hartford","CT","06106",41.7469,-72.69593
"84","4/13/14","22","Male","Hispanic","Taser","Unarmed","East Hartford","CT","06118",41.745349,-72.60807
"85","3/12/13","58","Male","White","Gunshot","Allegedly Armed","Willimantic","CT","06226",41.714867,-72.20934
"86","10/4/14","31","Male","Black","Taser","Unarmed","New London","CT","06320",41.352498,-72.10338
"87","9/20/16","23","Male","White","Gunshot","Allegedly Armed","Mashantucket","CT","06338",41.35,-72.09
"88","2/24/13","52","Male","White","Gunshot","Allegedly Armed","Norwich","CT","06360",41.533848,-72.06232
"89","3/15/15","41","Male","White","Taser","Unarmed","Branford","CT","06405",41.277763,-72.80542
"90","6/17/13","59","Male","Unknown race","Gunshot","Allegedly Armed","Salem","CT","06420",41.485469,-72.25445
"91","6/9/13","43","Male","Hispanic","Taser","Allegedly Armed","Meriden","CT","06451",41.536048,-72.81973
"92","10/23/13","28","Male","White","Gunshot","Allegedly Armed","Milford","CT","06460",41.21953,-73.0554
"93","10/10/15","31","Male","White","Gunshot","Allegedly Armed","Old Saybrook","CT","06475",41.289348,-72.38285
"94","2/22/16","37","Male","Black","Taser","Unarmed","West Haven","CT","06516",41.272147,-72.96496
"95","4/1/13","21","Male","Black","Gunshot","Allegedly Armed","Bridgeport","CT","06604",41.178696,-73.20004
"96","11/25/13","23","Male","Black","Gunshot","Allegedly Armed","Bridgeport","CT","06610",41.202091,-73.1708
"97","7/20/16","39","Male","White","Gunshot","Unclear","Waterbury","CT","06708",41.551601,-73.06262
"98","6/26/16","27","Male","Hispanic","Gunshot","Allegedly Armed","Thomaston","CT","06787",41.677982,-73.08979
"99","2/16/16","51","Male","White","Gunshot","Allegedly Armed","Fairfield","CT","06824",41.163879,-73.265744
"100","2/26/14","32","Male","Asian","Gunshot","Allegedly Armed","Norwalk","CT","06854",41.092196,-73.42869
"101","5/24/13","75","Male","White","Gunshot","Allegedly Armed","Ridgefield","CT","06877",41.297911,-73.49178
"102","3/21/16","25","Male","White","Gunshot","Unarmed","Stamford","CT","06905",41.081396,-73.54506
"103","10/5/15","50","Male","White","Gunshot","Allegedly Armed","Avenel","NJ","07001",40.578996,-74.27987
"104","5/31/14","44","Male","Black","Gunshot","Allegedly Armed","Clifton","NJ","07011",40.879699,-74.14263
"105","7/13/14","27","Male","Black","Gunshot","Allegedly Armed","North Bergen","NJ","07047",40.7946,-74.01963
"106","1/28/14","46","Male","Unknown race","Gunshot","Allegedly Armed","Passaic","NJ","07055",40.857384,-74.12899
"107","9/16/14","23","Male","Black","Gunshot","Allegedly Armed","Rutherford","NJ","07070",40.828922,-74.11064
"108","5/29/15","36","Male","Black","Gunshot","Allegedly Armed","Lyndhurst","NJ","07071",40.808416,-74.12111
"109","4/21/15","35","Male","Black","Gunshot","Vehicle","Union","NJ","07083",40.695401,-74.26933
"110","5/13/16","37","Male","White","Gunshot","Unclear","Union","NJ","07083",40.695401,-74.26933
"111","5/6/15","41","Male","Black","Vehicle","Unarmed","Secaucus","NJ","07094",40.7885,-74.06
"112","5/6/15","34","Female","Black","Vehicle","Unarmed","Secaucus","NJ","07094",40.7885,-74.06
"113","3/10/13","32","Male","Hispanic","Gunshot","Allegedly Armed","Newark","NJ","07104",40.767702,-74.16831
"114","11/6/13","22","Male","Hispanic","Gunshot","Unclear","Newark","NJ","07107",40.760667,-74.1879
"115","9/30/16","18","Male","Black","Gunshot","Unclear","Newark","NJ","07107",40.760667,-74.1879
"116","9/30/16","18","Male","Black","Gunshot","Unclear","Newark","NJ","07107",40.760667,-74.1879
"117","7/9/13","40","Male","Hispanic","Gunshot","Allegedly Armed","Belleville","NJ","07109",40.7935,-74.16144
"118","1/16/15","37","Female","White","Gunshot","Unarmed","Nutley","NJ","07110",40.8196,-74.15877
"119","1/14/13","32","Male","Unknown race","Gunshot","Allegedly Armed","Irvington","NJ","07111",40.725651,-74.23207
"120","11/11/13","30","Male","Black","Gunshot","Unarmed","Irvington","NJ","07111",40.725651,-74.23207
"121","9/1/15","18","Male","Black","Vehicle","Unarmed","Newark","NJ","07112",40.711651,-74.21303
"122","6/18/14","25","Male","White","Physical restraint","Unarmed","Elizabeth","NJ","07202",40.652302,-74.21692
"123","6/29/14","44","Male","Unknown race","Gunshot","Allegedly Armed","Elizabeth","NJ","07208",40.673102,-74.22834
"124","6/24/14","20","Male","Black","Gunshot","Unarmed","Jersey City","NJ","07304",40.716452,-74.07253
"125","3/8/13","44","Male","Black","Gunshot","Allegedly Armed","Jersey City","NJ","07305",40.701302,-74.08843
"126","6/24/16","36","Male","Black","Gunshot","Allegedly Armed","Paterson","NJ","07501",40.912198,-74.16863
"127","1/4/14","31","Male","Unknown race","Gunshot","Allegedly Armed","Paterson","NJ","07524",40.930398,-74.15829
"128","5/21/15","24","Male","Hispanic","Gunshot","Allegedly Armed","Hackensack","NJ","07601",40.888678,-74.0488
"129","3/9/15","64","Female","Asian","Vehicle","Unarmed","Hackensack","NJ","07601",40.888678,-74.0488
"130","6/11/15","22","Male","Hispanic","Gunshot","Allegedly Armed","Hackensack","NJ","07601",40.888678,-74.0488
"131","3/31/16","67","Male","Black","Vehicle","Unarmed","Hackensack","NJ","07601",40.888678,-74.0488
"132","10/8/14","20","Male","Hispanic","Gunshot","Vehicle","Paramus","NJ","07652",40.947107,-74.07047
"133","6/16/15","51","Female","White","Gunshot","Unarmed","Asbury Park","NJ","07712",40.232713,-74.03143
"134","5/27/15","39","Male","White","Gunshot","Allegedly Armed","Middletown","NJ","07748",40.410213,-74.11718
"135","6/3/15","56","Male","White","Gunshot","Allegedly Armed","Andover","NJ","07821",40.966308,-74.74298
"136","8/1/14","42","Male","Black","Gunshot","Unclear","Berlin","NJ","08009",39.779582,-74.9365
"137","7/27/13","52","Male","White","Vehicle","Unarmed","Moorestown","NJ","08057",39.968962,-74.9489
"138","1/25/15","59","Male","Unknown race","Gunshot","Allegedly Armed","Sicklerville","NJ","08081",39.741385,-74.99035
"139","7/16/16","57","Male","White","Gunshot","Allegedly Armed","Tuckerton","NJ","08087",39.59899,-74.36573
"140","1/5/13","27","Male","Asian","Gunshot","Allegedly Armed","Wenonah","NJ","08090",39.799347,-75.15202
"141","11/24/15","24","Male","Black","Gunshot","Allegedly Armed","Camden","NJ","08104",39.918663,-75.10976
"142","7/3/15","33","Male","Hispanic","Gunshot","Allegedly Armed","Camden","NJ","08105",39.949812,-75.08616
"143","4/22/13","19","Male","White","Gunshot","Allegedly Armed","Pleasantville","NJ","08232",39.394616,-74.52212
"144","12/30/14","36","Male","Black","Gunshot","Unarmed","Bridgeton","NJ","08302",39.445164,-75.24215
"145","1/21/16","44","Male","White","Vehicle","Unarmed","Millville","NJ","08332",39.379382,-75.03923
"146","3/31/15","32","Male","Black","Beaten","Unarmed","Vineland","NJ","08360",39.492265,-75.01887
"147","4/17/16","31","Male","Black","Gunshot","Allegedly Armed","Vineland","NJ","08360",39.492265,-75.01887
"148","7/7/15","37","Male","Black","Gunshot","Allegedly Armed","Atlantic City","NJ","08401",39.364966,-74.43903
"149","9/9/14","20","Male","Black","Gunshot","Allegedly Armed","Atlantic City","NJ","08401",39.364966,-74.43903
"150","3/27/14","27","Male","Black","Gunshot","Allegedly Armed","Atlantic City","NJ","08401",39.364966,-74.43903
"151","9/3/16","25","Male","Black","Gunshot","Allegedly Armed","Atlantic City","NJ","08401",39.364966,-74.43903
"152","8/13/16","30","Male","Unknown race","Gunshot","Unclear","Trenton","NJ","08610",40.199859,-74.72005
"153","11/15/13","42","Male","Black","Gunshot","Allegedly Armed","Trenton","NJ","08610",40.199859,-74.72005
"154","5/12/13","38","Male","Black","Gunshot","Allegedly Armed","Trenton","NJ","08611",40.206959,-74.75136
"155","11/13/14","31","Male","Black","Gunshot","Allegedly Armed","Trenton","NJ","08618",40.238258,-74.7805
"156","6/15/15","47","Male","Black","Baton, Pepper Spray, Physical Restraint","Unarmed","Trenton","NJ","08618",40.238258,-74.7805
"157","4/15/15","36","Male","White","Gunshot","Allegedly Armed","Trenton","NJ","08619",40.240558,-74.69588
"158","8/15/13","23","Male","Black","Gunshot","Allegedly Armed","Trenton","NJ","08629",40.219358,-74.73334
"159","8/27/16","34","Male","Black","Gunshot","Unarmed","Trenton","NJ","08638",40.249908,-74.75953
"160","8/23/15","21","Male","White","Gunshot","Allegedly Armed","Brick","NJ","08724",40.087794,-74.10981
"161","7/5/15","25","Male","White","Vehicle","Unarmed","Forked River","NJ","08731",39.848035,-74.21297
"162","2/6/16","27","Male","Hispanic","Gunshot","Allegedly Armed","Toms River","NJ","08757",39.975967,-74.25296
"163","7/31/16","18","Male","Unknown race","Gunshot","Allegedly Armed","Whiting","NJ","08759",39.943541,-74.36949
"164","11/9/14","23","Male","White","Vehicle","Unarmed","Whiting","NJ","08759",39.943541,-74.36949
"165","11/21/13","28","Male","White","Gunshot","Allegedly Armed","Dayton","NJ","08810",40.372881,-74.51363
"166","1/14/15","75","Male","White","Gunshot","Allegedly Armed","Old Bridge","NJ","08857",40.397507,-74.3298
"167","12/4/13","31","Male","Hispanic","Gunshot","Allegedly Armed","Perth Amboy","NJ","08861",40.520105,-74.27708
"168","11/17/14","36","Male","White","Gunshot","Allegedly Armed","Phillipsburg","NJ","08865",40.689123,-75.17243
"169","12/28/14","10","Male","White","Vehicle","Unarmed","Somerset","NJ","08873",40.505253,-74.50723
"170","4/9/16","27","Male","Black","Gunshot","Allegedly Armed","Somerset","NJ","08873",40.505253,-74.50723
"171","2/23/13","51","Male","Unknown race","Gunshot","Allegedly Armed","South River","NJ","08882",40.445006,-74.38179
"172","11/10/14","27","Male","Black","Physical restraint","Unarmed","North Brunswick","NJ","08902",40.453131,-74.48287
"173","4/25/15","22","Male","Black","Gunshot","Unarmed","New York","NY","10009",40.727093,-73.97864
"174","7/28/14","32","Male","White","Gunshot","Allegedly Armed","New York","NY","10014",40.734718,-74.00532
"175","5/18/16","46","Male","White","Gunshot","Allegedly Armed","New York","NY","10019",40.765714,-73.9856
"176","5/16/14","45","Male","Black","Gunshot","Allegedly Armed","New York","NY","10021",40.76842,-73.96045
"177","8/29/14","45","Male","Black","Physical restraint","Unarmed","New York","NY","10111",40.759235,-73.97775
"178","7/17/14","43","Male","Black","Asphyxiation","Unarmed","Staten Island","NY","10301",40.631775,-74.09432
"179","10/4/13","51","Male","White","Vehicle","Unarmed","Staten Island","NY","10303",40.629448,-74.16239
"180","8/14/15","38","Male","Black","Gunshot","Allegedly Armed","Staten Island","NY","10303",40.629448,-74.16239
"181","3/20/15","28","Male","Unknown race","Vehicle","Allegedly Armed","Staten Island","NY","10312",40.543117,-74.17628
"182","3/20/15","28","Male","Hispanic","Vehicle","Unarmed","Staten Island","NY","10312",40.543117,-74.17628
"183","9/17/13","25","Male","Black","Medical emergency","Unarmed","Bronx","NY","10451",40.819729,-73.9223
"184","12/26/13","44","Male","Black","Gunshot","Allegedly Armed","Bronx","NY","10453",40.853017,-73.91214
"185","3/16/16","55","Male","Hispanic","Physical restraint","Unarmed","Bronx","NY","10454",40.805968,-73.91628
"186","8/4/13","14","Male","Black","Gunshot","Allegedly Armed","Bronx","NY","10455",40.815559,-73.90771
"187","6/10/15","19","Male","Black","Gunshot","Allegedly Armed","Bronx","NY","10457",40.846745,-73.89861
"188","5/15/15","40","Male","Hispanic","Unknown","Unarmed","Bronx","NY","10458",40.864166,-73.88881
"189","6/19/13","52","Male","Hispanic","Medical emergency","Allegedly Armed","Bronx","NY","10467",40.872265,-73.86937
"190","6/8/15","51","Male","Hispanic","Taser","Unarmed","Bronx","NY","10468",40.867107,-73.89916
"191","10/31/13","26","Male","Unknown race","Gunshot","Allegedly Armed","Bronx","NY","10473",40.818514,-73.85893
"192","6/19/16","25","Male","Black","Gunshot","Allegedly Armed","Bronx","NY","10474",40.81321,-73.88755
"193","8/28/15","61","Male","Black","Gunshot","Unarmed","Mount Vernon","NY","10553",40.909288,-73.8215
"194","3/21/14","45","Male","Black","Fall to death","Allegedly Armed","Yonkers","NY","10701",40.943525,-73.88176
"195","6/11/14","30","Male","White","Medical emergency","Unclear","Yonkers","NY","10703",40.956546,-73.8799
"196","12/8/15","36","Male","Black","Gunshot","Unarmed","Yonkers","NY","10704",40.920273,-73.8612
"197","5/26/13","48","Male","Hispanic","Gunshot","Allegedly Armed","New Rochelle","NY","10805",40.897783,-73.77933
"198","8/12/14","59","Male","White","Vehicle","Allegedly Armed","Suffern","NY","10901",41.125695,-74.12682
"199","11/20/13","25","Male","Black","Gunshot","Allegedly Armed","Middletown","NY","10940",41.449364,-74.43951
"200","7/13/16","53","Male","White","Gunshot","Unarmed","Middletown","NY","10940",41.449364,-74.43951
"201","2/9/15","57","Male","White","Gunshot","Allegedly Armed","New City","NY","10956",41.145495,-73.9949
"202","2/21/13","24","Male","Asian","Vehicle","Allegedly Armed","Long Island City","NY","11101",40.745341,-73.93907
"203","4/12/14","86","Male","White","Gunshot","Allegedly Armed","Astoria","NY","11103",40.762968,-73.91091
"204","7/22/13","37","Female","Black","Medical emergency","Unarmed","Brooklyn","NY","11201",40.695286,-73.98907
"205","4/15/13","33","Male","Black","Gunshot","Unarmed","Brooklyn","NY","11203",40.649059,-73.93304
"206","5/19/14","39","Male","Black","Gunshot","Allegedly Armed","Brooklyn","NY","11203",40.649059,-73.93304
"207","4/15/13","1","Male","Black","Gunshot","Unarmed","Brooklyn","NY","11203",40.649059,-73.93304
"208","7/4/13","39","Male","Hispanic","Medical emergency","Allegedly Armed","Brooklyn","NY","11205",40.694214,-73.96529
"209","8/14/13","33","Male","Black","Vehicle","Vehicle","Brooklyn","NY","11207",40.670874,-73.89424
"210","7/4/16","37","Male","Black","Gunshot","Unarmed","Brooklyn","NY","11207",40.670874,-73.89424
"211","6/18/13","50","Male","Unknown race","Gunshot","Allegedly Armed","Brooklyn","NY","11207",40.670874,-73.89424
"212","5/26/15","51","Male","Black","Gunshot","Allegedly Armed","Brooklyn","NY","11207",40.670874,-73.89424
"213","11/20/14","28","Male","Black","Gunshot","Unarmed","Brooklyn","NY","11208",40.672666,-73.87248
"214","7/6/13","61","Male","White","Vehicle","Allegedly Armed","Brooklyn","NY","11211",40.71209,-73.95427
"215","7/16/16","21","Male","White","Vehicle","Unarmed","Brooklyn","NY","11211",40.71209,-73.95427
"216","7/17/16","42","Male","Black","Gunshot","Allegedly Armed","Brooklyn","NY","11211",40.71209,-73.95427
"217","8/15/13","43","Male","Black","Medical emergency","Unarmed","Brooklyn","NY","11212",40.662191,-73.91328
"218","12/9/14","49","Male","Black","Gunshot","Allegedly Armed","Brooklyn","NY","11213",40.670937,-73.93459
"219","7/11/16","39","Male","Black","Gunshot","Allegedly Armed","Brooklyn","NY","11214",40.598994,-73.99611
"220","3/10/13","16","Male","Black","Gunshot","Allegedly Armed","Brooklyn","NY","11218",40.644552,-73.97595
"221","1/3/13","37","Male","Black","Gunshot","Allegedly Armed","Brooklyn","NY","11219",40.632449,-73.99629
"222","8/31/14","22","Male","Black","Gunshot","Allegedly Armed","Brooklyn","NY","11221",40.691234,-73.92637
"223","9/29/14","47","Male","Hispanic","Gunshot","Allegedly Armed","Brooklyn","NY","11230",40.622994,-73.96427
"224","9/29/14","51","Male","Hispanic","Gunshot","Unarmed","Brooklyn","NY","11230",40.622994,-73.96427
"225","5/23/13","28","Male","Unknown race","Gunshot","Allegedly Armed","Brooklyn","NY","11231",40.6788,-74.00254
"226","5/5/13","17","Male","Black","Beaten","Allegedly Armed","Brooklyn","NY","11233",40.676938,-73.91858
"227","10/3/14","28","Male","White","Gunshot","Allegedly Armed","Brooklyn","NY","11235",40.583803,-73.95019
"228","6/18/15","58","Male","White","Gunshot","Allegedly Armed","Brooklyn","NY","11235",40.583803,-73.95019
"229","11/18/13","22","Male","Black","Gunshot","Allegedly Armed","Brooklyn","NY","11237",40.703355,-73.91993
"230","10/26/14","29","Male","Black","Gunshot","Allegedly Armed","Flushing","NY","11355",40.749463,-73.81941
"231","6/5/13","46","Female","Black","Gunshot","Unarmed","Saint Albans","NY","11412",40.697188,-73.75948
"232","4/17/16","32","Male","Black","Gunshot","Allegedly Armed","South Ozone Park","NY","11420",40.673138,-73.81443
"233","1/10/14","50","Male","Black","Gunshot","Unarmed","Queens Village","NY","11429",40.708833,-73.73903
"234","4/23/15","30","Male","White","Gunshot","Allegedly Armed","Jamaica","NY","11432",40.714144,-73.79324
"235","10/23/14","32","Male","Black","Gunshot","Allegedly Armed","Jamaica","NY","11432",40.714144,-73.79324
"236","12/7/15","30","Male","Black","Gunshot","Allegedly Armed","Jamaica","NY","11434",40.674888,-73.7727
"237","5/17/13","30","Male","Black","Gunshot","Allegedly Armed","Uniondale","NY","11553",40.703502,-73.59306
"238","5/17/13","21","Female","Hispanic","Gunshot","Allegedly Armed","Uniondale","NY","11553",40.703502,-73.59306
"239","3/22/15","21","Male","Black","Gunshot","Unarmed","Bay Shore","NY","11706",40.729098,-73.25607
"240","6/27/14","27","Male","Black","Gunshot","Allegedly Armed","Bay Shore","NY","11706",40.729098,-73.25607
"241","12/28/14","54","Male","White","Vehicle","Unarmed","Islip","NY","11751",40.734212,-73.21416
"242","10/12/13","60","Male","White","Medical emergency","Unarmed","Kings Park","NY","11754",40.888497,-73.24258
"243","7/25/13","29","Male","Black","Taser","Unarmed","Middle Island","NY","11953",40.886267,-72.9552
"244","6/29/13","46","Male","Unknown race","Gunshot","Allegedly Armed","Shirley","NY","11967",40.794317,-72.87181
"245","9/20/14","43","Male","White","Taser","Unarmed","Ballston Spa","NY","12020",43.006309,-73.8604
"246","11/18/13","38","Male","White","Gunshot","Allegedly Armed","Berlin","NY","12022",42.681107,-73.3489
"247","4/22/16","51","Male","White","Gunshot","Allegedly Armed","Berne","NY","12023",42.610306,-74.15692
"248","2/9/16","10","Male","White","Gunshot","Unarmed","Latham","NY","12110",42.74964,-73.76802
"249","2/9/16","44","Female","White","Gunshot","Unarmed","Latham","NY","12110",42.74964,-73.76802
"250","6/29/15","51","Male","White","Gunshot","Allegedly Armed","Northville","NY","12134",43.21892,-74.14822
"251","4/17/16","38","Male","Black","Gunshot","Vehicle","Troy","NY","12180",42.731628,-73.66465
"252","8/22/15","39","Male","Black","Gunshot","Allegedly Armed","Troy","NY","12182",42.785887,-73.66221
"253","4/2/15","39","Male","Black","Taser","Unarmed","Albany","NY","12210",42.656679,-73.75894
"254","4/10/16","30","Male","White","Gunshot","Allegedly Armed","Schenectady","NY","12303",42.769009,-73.93619
"255","6/13/16","33","Male","White","Gunshot","Allegedly Armed","Schenectady","NY","12303",42.769009,-73.93619
"256","5/2/13","40","Male","Hispanic","Gunshot","Allegedly Armed","Schenectady","NY","12304",42.779026,-73.90507
"257","1/14/15","87","Male","White","Vehicle","Unarmed","Catskill","NY","12414",42.223002,-73.90452
"258","8/10/14","51","Male","White","Gunshot","Unarmed","Palenville","NY","12463",42.174411,-74.01599
