"","Date.of.injury.resulting.in.death..month.day.year.","Victim.s.age","Victim.s.gender","Victim.s.race","Cause.of.death","Unarmed","city","state","zip","latitude","longitude"
"1163","7/12/15","50","Male","Black","Gunshot","Unarmed","Fort Lauderdale","FL","33317",26.113664,-80.22376
"1164","1/9/13","60","Female","Unknown race","Gunshot","Allegedly Armed","Fort Lauderdale","FL","33319",26.183628,-80.22122
"1165","9/30/14","38","Male","Black","Gunshot","Allegedly Armed","Fort Lauderdale","FL","33322",26.150863,-80.27284
"1166","2/16/13","63","Male","Unknown race","Vehicle","Allegedly Armed","Fort Lauderdale","FL","33331",26.056111,-80.36373
"1167","7/31/13","33","Male","Black","Gunshot","Unarmed","Fort Lauderdale","FL","33334",26.182161,-80.13341
"1168","7/21/15","24","Male","White","Gunshot","Allegedly Armed","Fort Lauderdale","FL","33334",26.182161,-80.13341
"1169","10/26/13","24","Male","Black","Gunshot","Allegedly Armed","West Palm Beach","FL","33401",26.711192,-80.06043
"1170","4/20/13","22","Male","Black","Gunshot","Unarmed","West Palm Beach","FL","33401",26.711192,-80.06043
"1171","3/22/13","49","Male","Black","Gunshot","Allegedly Armed","West Palm Beach","FL","33406",26.659294,-80.09118
"1172","10/7/15","46","Male","Hispanic","Gunshot","Allegedly Armed","West Palm Beach","FL","33406",26.659294,-80.09118
"1173","8/23/14","39","Male","Black","Gunshot","Allegedly Armed","West Palm Beach","FL","33407",26.750991,-80.07296
"1174","12/11/14","27","Male","White","Gunshot","Allegedly Armed","West Palm Beach","FL","33410",26.839588,-80.08824
"1175","10/18/15","31","Male","Black","Gunshot","Allegedly Armed","West Palm Beach","FL","33410",26.839588,-80.08824
"1176","6/22/16","37","Male","Hispanic","Gunshot","Allegedly Armed","West Palm Beach","FL","33414",26.65671,-80.25377
"1177","4/7/14","31","Male","Black","Gunshot","Allegedly Armed","West Palm Beach","FL","33415",26.659344,-80.12704
"1178","7/31/16","40","Male","White","Vehicle","Unarmed","West Palm Beach","FL","33418",26.877984,-80.16052
"1179","1/16/16","19","Male","Black","Gunshot","Allegedly Armed","Belle Glade","FL","33430",26.685125,-80.66279
"1180","3/8/13","20","Male","Unknown race","Gunshot","Allegedly Armed","Boca Raton","FL","33431",26.381304,-80.09623
"1181","10/20/13","41","Male","White","Gunshot","Allegedly Armed","Boca Raton","FL","33432",26.347305,-80.08552
"1182","4/2/14","28","Male","White","Gunshot","Allegedly Armed","Boca Raton","FL","33433",26.347711,-80.15648
"1183","11/18/13","55","Male","White","Gunshot","Allegedly Armed","Boynton Beach","FL","33437",26.522249,-80.15031
"1184","6/7/13","39","Male","White","Gunshot","Allegedly Armed","Hobe Sound","FL","33455",27.076516,-80.14697
"1185","1/8/13","24","Female","White","Gunshot","Allegedly Armed","Lake Worth","FL","33460",26.619695,-80.05676
"1186","12/24/14","21","Male","White","Gunshot","Unclear","Delray Beach","FL","33483",26.465051,-80.06517
"1187","2/4/14","28","Male","Black","Gunshot","Unarmed","Delray Beach","FL","33484",26.458152,-80.1356
"1188","5/14/13","50","Male","White","Gunshot","Allegedly Armed","Brandon","FL","33510",27.953801,-82.29748
"1189","3/4/14","41","Male","Black","Gunshot","Allegedly Armed","Brandon","FL","33511",27.911201,-82.2948
"1190","7/1/14","41","Male","Black","Gunshot","Unarmed","Zephyrhills","FL","33542",28.238489,-82.181913
"1191","11/11/14","31","Male","Asian","Gunshot","Allegedly Armed","Plant City","FL","33563",28.016971,-82.128584
"1192","8/25/15","51","Male","White","Gunshot","Allegedly Armed","Thonotosassa","FL","33592",28.077843,-82.29837
"1193","6/28/15","60","Male","White","Vehicle","Unarmed","Tampa","FL","33604",28.016846,-82.4566
"1194","5/27/14","29","Male","White","Gunshot","Allegedly Armed","Tampa","FL","33604",28.016846,-82.4566
"1195","10/12/14","20","Male","Black","Gunshot","Allegedly Armed","Tampa","FL","33605",27.963849,-82.43193
